License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location
1188906,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,LOS GIRASOLES RESTAURANT CORP,LOS GIRASOLES REST.,2613 WEBSTER AVE,193 & 194 STS.,BRONX,NY,10458,850952,08/22/2007,08/01/2015,07/31/2017,40.8630095186,-73.8897471992,"(40.8630095186, -73.8897471992)"
1188949,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,BRIDGES NY EAST LLC,BRIDGES,4100 E TREMONT AVE,MILES & LAWTON AVES,BRONX,NY,10465,850592,08/22/2007,08/01/2015,07/31/2017,40.818975672,-73.8172678374,"(40.818975672, -73.8172678374)"
1189014,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,ZERO OTTO NOVE INC,TRATTORIA SALERNITANA,2357 ARTHUR AVE,,BRONX,NY,10458,851814,09/12/2007,09/01/2015,08/31/2017,40.8547028313,-73.8883669498,"(40.8547028313, -73.8883669498)"
1189201,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,EL VALLE F & G RESTAURANT CORP,,2448 JEROME AVE,,BRONX,NY,10468,850589,08/13/2007,08/01/2015,07/31/2017,40.8625390708,-73.9011699698,"(40.8625390708, -73.9011699698)"
1189439,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,GEORGE'S SCC INC,GEORGE'S RESTAURANT,3000 BUHRE AVENUE,BUHRE AVENUE/MIDDLETOWN ROAD,BRONX,NY,10461,849634,08/24/2007,08/01/2015,07/31/2017,40.8472142311,-73.8315124112,"(40.8472142311, -73.8315124112)"
1191261,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,414 LATINO RESTAURANT SPORTS BAR INC,,414 E 138TH ST,,BRONX,NY,10454,855365,11/08/2007,11/03/2015,10/31/2017,40.8088843199,-73.9223671791,"(40.8088843199, -73.9223671791)"
1192353,LIQUOR STORE,222,L,New York,1,BRONX,769 ELIES LIQUOR INC,,769 E 169TH ST,BOSTON ROAD & TINTON AVENUE,BRONX,NY,10456,883969,09/06/2007,09/01/2016,08/31/2019,40.8308241543,-73.899652209,"(40.8308241543, -73.899652209)"
1192359,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,ANTONIO S TRATTORIA CORP,,2370 BELMONT AVE,,BRONX,NY,10458,852602,09/21/2007,09/01/2015,08/31/2017,40.8540732996,-73.8867619709,"(40.8540732996, -73.8867619709)"
1193237,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,27 SPORTS BAR AND CAFE INC,,2 W MOUNT EDEN AVENUE,WEST MOUNT EDEN & JEROME AVE,BRONX,NY,10452,850490,08/02/2007,08/01/2015,07/31/2017,40.8443158345,-73.9148420506,"(40.8443158345, -73.9148420506)"
1193612,LIQUOR STORE,222,L,New York,1,BRONX,ANIKA LIQUOR CORPORATION,,252 E BURNSIDE AVENUE,,BRONX,NY,10457,884236,11/07/2007,11/01/2016,10/31/2019,40.8516261088,-73.902786883,"(40.8516261088, -73.902786883)"
1193750,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,2151 MORENA RESTAURANT LLC,,2151 JEROME AVENUE,E 181ST STREET & CAMERON PL,BRONX,NY,10453,852737,10/01/2007,10/01/2015,09/30/2017,40.8558301412,-73.9056188701,"(40.8558301412, -73.9056188701)"
1195219,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,1024 MORRIS TAVERN INC,DOYLES PUB,1024 MORRIS PARK AVE,PAULDING AVE & MORRIS PARK AVE,BRONX,NY,10461,859782,05/15/2008,05/01/2016,04/30/2018,40.8484329639,-73.8553577625,"(40.8484329639, -73.8553577625)"
1195401,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,ST PANTES LLC,LAND & SEA RESTAURANT,5535 BROADWAY,KIMBERLY PLACE & BROADWAY,BRONX,NY,10462,854940,11/20/2007,11/01/2015,10/31/2017,40.8778224249,-73.9055529192,"(40.8778224249, -73.9055529192)"
1196228,LIQUOR STORE,222,L,New York,1,BRONX,A & S SPIRITS CORPORATION,MELROSE LIQUORS,395 E 167TH ST,WEBSTER AVE & CLAY AVE,BRONX,NY,10456,886611,11/13/2007,11/01/2016,10/31/2019,40.8308545922,-73.9106530004,"(40.8308545922, -73.9106530004)"
1197260,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,L & L FAMILY INC,NEW GREEN DRAGON,4111 4113 E TREMONT AVE,MILES AVE & LAWTON AVE,BRONX,NY,10465,855921,02/15/2008,02/01/2016,01/31/2018,40.8188534361,-73.8170361545,"(40.8188534361, -73.8170361545)"
1199568,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,FIESTA CAFE BAR INC,,4640 3RD AVE,187 ST & 3RD AVE,BRONX,NY,10458,860522,06/17/2008,06/01/2016,05/31/2018,40.8565024551,-73.8909727987,"(40.8565024551, -73.8909727987)"
1199991,LIQUOR STORE,222,L,New York,1,BRONX,BRONX SPIRITS LTD,,1283 E GUN HILL ROAD,BOUCK AVE & WILSON AVE,BRONX,NY,10469,872660,10/30/2009,10/01/2015,09/30/2018,40.8719004977,-73.8490661167,"(40.8719004977, -73.8490661167)"
1200702,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,MEM REST CORP,WICKED WOLF OF THROGS NECK,4029 E TREMONT AVE,,BRONX,NY,10465,859741,05/02/2008,05/01/2016,04/30/2018,40.8196740507,-73.8175183714,"(40.8196740507, -73.8175183714)"
1201395,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,PARISIENNE CAFE INC,,2339 ARTHUR AVE,CRESCENT AVE & E 187TH ST,BRONX,NY,10458,860493,06/27/2008,06/01/2016,05/31/2018,40.8542374222,-73.8887599325,"(40.8542374222, -73.8887599325)"
1202382,LIQUOR STORE,222,L,New York,1,BRONX,WHITE PLAINS DISCOUNT LIQUOR INC,,3954 WHITE PLAINS ROAD,,BRONX,NY,10466,828629,07/28/2008,07/01/2014,06/30/2017,40.8872566536,-73.8608686292,"(40.8872566536, -73.8608686292)"
1202518,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,TOSCA MARQUIS CORP,TOSCA MARQUEE,4034 E TREMONT AVE,MILES AVENUE & GERBER PLACE,BRONX,NY,10465,863834,07/24/2008,07/01/2016,06/30/2018,40.819615467,-73.817563217,"(40.819615467, -73.817563217)"
1202550,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,OASIS RESTAURANT & SPORTS BAR INC,,3441 JEROME AVENUE,GUN HILL ROAD & 210TH STREET,BRONX,NY,10467,864116,08/15/2008,08/01/2016,07/31/2018,40.8815961316,-73.882701085,"(40.8815961316, -73.882701085)"
1203059,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,2407 NAP BRONX 20 CORP,ANN & TONY'S RESTAURANT,2407 ARTHUR AVENUE,187TH STREET,BRONX,NY,10458,858616,05/22/2008,05/01/2016,04/30/2018,40.8557478748,-73.8874946891,"(40.8557478748, -73.8874946891)"
1204140,LIQUOR STORE,222,L,New York,1,BRONX,M M J WINE & SPIRITS INC,,4251 KATONAH AVENUE,E 234 STREET & E 235 STREET,BRONX,NY,10470,828311,06/20/2008,06/01/2014,05/31/2017,40.8971529164,-73.867178863,"(40.8971529164, -73.867178863)"
1204192,LIQUOR STORE,222,L,New York,1,BRONX,ARLIS WINES & LIQUORS CORP,ARLIS WINES & LIQUORS CORP,248 E 204TH ST,,BRONX,NY,10458,862449,12/10/2008,12/01/2014,11/30/2017,40.8741808223,-73.8843980915,"(40.8741808223, -73.8843980915)"
1204847,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,MICHAEL ANGELO S BRICK OVEN INC,,2477 ARTHUR AVENUE,188TH & 189TH STREETS,BRONX,NY,10458,860778,06/24/2008,06/01/2016,05/31/2018,40.8572851843,-73.8861699876,"(40.8572851843, -73.8861699876)"
1205513,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,AMERICAN GOLF CORPORATION,PELHAM/SPLIT ROCK GOLF COURSE,870 SHORE RD,,BRONX,NY,10464,863512,07/21/2008,07/01/2016,06/30/2018,40.8822203359,-73.7949342141,"(40.8822203359, -73.7949342141)"
1205666,LIQUOR STORE,222,L,New York,1,BRONX,J E J L WINES & LIQUORS CORP,,854 E 180TH STREET,170TH ST & CROTONA HONEYWELL A,BRONX,NY,10460,860282,07/02/2008,07/03/2014,06/30/2017,40.8455070416,-73.8836097052,"(40.8455070416, -73.8836097052)"
1206182,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,HOWL AT THE MOON RESTAURANT CORP,,585A E 189TH STREET,ARTHUR AVE & HOFFMAN ST,BRONX,NY,10458,864859,08/12/2008,08/02/2016,07/31/2018,40.8576254149,-73.8863685478,"(40.8576254149, -73.8863685478)"
1206927,LIQUOR STORE,222,L,New York,1,BRONX,M&M LIQUOR CORP,CROSS BRONX WAREHOUSE LIQUORS AND WINES,961 E 174TH ST,,BRONX,NY,10460,862046,11/14/2008,11/01/2014,10/31/2017,40.8367603667,-73.8859379015,"(40.8367603667, -73.8859379015)"
1208607,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,963 PROSPECT CORP,NILDA'S SPORTS BAR & GRILL,963 PROSPECT AVE- NORTH STORE,,BRONX,NY,10459,868060,11/06/2008,11/01/2016,10/31/2018,40.8224890997,-73.9005245161,"(40.8224890997, -73.9005245161)"
1209021,LIQUOR STORE,222,L,New York,1,BRONX,JEAN PAUL WEG LLC,THE WINE CELLARAGE,890 GARRISON AVENUE,,BRONX,NY,10474,879265,05/12/2009,06/06/2016,04/30/2018,40.8170939169,-73.8919444365,"(40.8170939169, -73.8919444365)"
1209049,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,BYA CORP,LOBSTER BOX,34 CITY ISLAND AVENUE,CITY ISLAND AVE & BELDEN ST,BRONX,NY,10464,865221,09/23/2008,09/01/2016,08/31/2018,40.8387585318,-73.7832462315,"(40.8387585318, -73.7832462315)"
1209893,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,5670 MOSHOLU ENTERPRISES INC,FRANKIES TAVERN,5670 MOSHOLU AVENUE,TYNDALL AVE & FIELDSTON RD,BRONX,NY,10471,866369,12/05/2008,12/01/2016,11/30/2018,40.9052353094,-73.9013117542,"(40.9052353094, -73.9013117542)"
1210497,LIQUOR STORE,222,L,New York,1,BRONX,ER FIESTA LIQUORS CORP,,3221 3RD AVE,162ND & 163RD ST,BRONX,NY,10451,863439,02/24/2009,02/01/2015,01/31/2018,40.823562198,-73.9090779045,"(40.823562198, -73.9090779045)"
1210746,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,EL TEXANO RESTAURANT CORP,,2031 WESTCHESTER AVE,PUGSLEY AVE & OLNSTEAD AVE,BRONX,NY,10462,868445,11/10/2008,11/14/2016,10/31/2018,40.833666655,-73.8567399758,"(40.833666655, -73.8567399758)"
1213877,LIQUOR STORE,222,L,New York,1,BRONX,J J & WONAM INC,DISCOUNT WINE & LIQUOR,349 E 204TH ST,HULL & DECATUR AVE,BRONX,NY,10467,872225,01/15/2009,10/01/2015,09/30/2018,40.872067834,-73.8776214427,"(40.872067834, -73.8776214427)"
1215365,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,ANYELISA REST CORP,,28 E 167TH STREET,RIVER ABVE &JEROME AVE,BRONX,NY,10452,846963,06/23/2009,06/01/2015,05/31/2017,40.8357592405,-73.9216174136,"(40.8357592405, -73.9216174136)"
1215556,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,BRIAD RESTAURANT GROUP LLC,TGI FRIDAY'S,1750 1780 E GUN HILL RD,,BRONX,NY,10469,850368,08/26/2009,08/01/2015,07/31/2017,40.8635699716,-73.8334372289,"(40.8635699716, -73.8334372289)"
1215807,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,LPD RESTAURANT INC,CAFE COLONIAL RESTAURANT,2070 WHITE PLAINS ROAD,BRADY AVE & MARAN PL,BRONX,NY,10462,846785,06/10/2009,06/01/2015,05/31/2017,40.8524415373,-73.8676997436,"(40.8524415373, -73.8676997436)"
1217249,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,J J C D INC,BRONX ALE HOUSE,216 W 238TH STREET,REVIEW PLACE & PUTNAM AVE,BRONX,NY,10463,846593,06/26/2009,06/01/2015,05/31/2017,40.8847259543,-73.8996526649,"(40.8847259543, -73.8996526649)"
1217534,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,PATRICIA'S MORRIS PARK CORP,PATRICIA'S PIZZA & PASTA,1082 MORRIS PARK AVENUE,LURTING AVE & HAIGHT AVE,BRONX,NY,10461,865847,12/15/2010,12/01/2016,11/30/2018,40.8492614522,-73.8535387607,"(40.8492614522, -73.8535387607)"
1219742,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,C I LOBSTER CORP,CITY ISLAND LOBSTER HOUSE,691 BRIDGE STREET,,BRONX,NY,104641102,850215,07/29/2009,07/01/2015,06/30/2017,40.8567892437,-73.7906153648,"(40.8567892437, -73.7906153648)"
1220246,CLUB LIQUOR,243,CL,New York,1,BRONX,LEGEND SOFTBALL CORP,,580 E 161ST STREET,ST ANNS AVE & 161ST STREET,BRONX,NY,10456,853309,07/30/2009,09/10/2015,06/30/2017,40.822274013,-73.9090134361,"(40.822274013, -73.9090134361)"
1220307,LIQUOR STORE,222,L,New York,1,BRONX,L & N LIQUORS NY INC,,728 LYDIG AVENUE,CRUGER AVE & HOLLAND AVE,BRONX,NY,10462,862925,03/24/2009,01/01/2015,12/31/2017,40.8544171682,-73.8665255744,"(40.8544171682, -73.8665255744)"
1220766,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,DEILINE S RESTAURANT CORP,,1544 E 174TH STREET,BRONX RIVER AVE & E WARD AVE,BRONX,NY,10472,847298,08/07/2009,08/01/2015,07/31/2017,40.8342829047,-73.8790065712,"(40.8342829047, -73.8790065712)"
1221570,LIQUOR STORE,222,L,New York,1,BRONX,SJ DISCOUNT LIQUOR CORP,SJ DISCOUNT LIQUORS,1763 65 UNIVERSITY AVENUE,W TREMONT AVE AND 176TH STREET,BRONX,NY,10453,871289,09/16/2009,09/01/2015,08/31/2018,40.8500858099,-73.9162868672,"(40.8500858099, -73.9162868672)"
1221986,LIQUOR STORE,222,L,New York,1,BRONX,PALERMO LIQUORS & WINES INC,,1137 E TREMONT AVENUE,,BRONX,NY,10460,874299,12/07/2009,12/01/2015,11/30/2018,40.8400153573,-73.8760476384,"(40.8400153573, -73.8760476384)"
1222085,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,BTM APPLE LLC,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,610 EXTERIOR STREET,,BRONX,NY,10451,847080,08/07/2009,08/01/2015,07/31/2017,40.821146676,-73.9304626843,"(40.821146676, -73.9304626843)"
1223294,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,LUCHA RESTAURANT CORP,,3019 WESTCHESTER AVENUE,CROSBY AVE AND HOBART AVE,BRONX,NY,10461,865057,10/28/2010,10/01/2016,09/30/2018,40.847323731,-73.8319323232,"(40.847323731, -73.8319323232)"
1223958,LIQUOR STORE,222,L,New York,1,BRONX,MILES 4101 WINES & LIQUOR LLC,,4101 4103 EAST TREMONT AVENUE,MILES AVE AND LAWTON AVE,BRONX,NY,10465,871301,09/21/2009,09/01/2015,08/31/2018,40.8189930938,-73.8171195132,"(40.8189930938, -73.8171195132)"
1224272,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,ROBERTO'S RESTAURANT CORP,,603 CRESCENT AVENUE,ARTHUR AVENUE & HUGHS STREET,BRONX,NY,10458,853697,10/02/2009,10/01/2015,09/30/2017,40.8536302684,-73.8883947728,"(40.8536302684, -73.8883947728)"
1225075,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,FORDHAM APPLE LLC,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,4750 4758 3RD AVENUE,188TH AND 189TH STREETS,BRONX,NY,10458,847081,08/06/2009,08/01/2015,07/31/2017,40.8602464979,-73.8909365901,"(40.8602464979, -73.8909365901)"
1225447,LIQUOR STORE,222,L,New York,1,BRONX,EONEL WINE & LIQUORS CORP,,652 SOUNDVIEW AVENUE,TAYLOR AVE AND BEACH AVE AND S,BRONX,NY,10473,878341,04/21/2010,04/18/2016,03/31/2019,40.8180327542,-73.8624934047,"(40.8180327542, -73.8624934047)"
1227037,LIQUOR STORE,222,L,New York,1,BRONX,FORDHAM WEST LIQUOR & WINE LLC,,202 W FORDHAM ROAD,LANDING ROAD & SEDGWICK AVENUE,BRONX,NY,10468,875650,02/12/2010,02/01/2016,01/31/2019,40.8626075767,-73.9091067689,"(40.8626075767, -73.9091067689)"
1227189,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,MELANIE'S ROTI GRILL & RESTAURANT INC,MELANIE'S ROTI & GRILL RESTAURANT AND BAR,1248 CASTLE HILL AVE,NEW BOLD & ELLIS AVES,BRONX,NY,10462,856738,03/09/2010,03/01/2016,02/28/2018,40.8333438873,-73.8512910757,"(40.8333438873, -73.8512910757)"
1230699,LIQUOR STORE,222,L,New York,1,BRONX,650 MELROSE WINE & LIQUOR CORP,,650 MELROSE AVENUE STORE #3,BETWEEN 152ND & 153RD STREETS,BRONX,NY,10455,879719,06/18/2010,06/01/2016,05/31/2019,40.8186037911,-73.9165477474,"(40.8186037911, -73.9165477474)"
1231604,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,STOP AT THE SPOT SWEET POT RESTAURANT & COCKTAIL,LOUNGE INC,918 E 233RD ST,BRONXWOOD & PAULDING AVENUES,BRONX,NY,10466,856491,12/23/2009,12/03/2015,11/30/2017,40.8912605025,-73.850854895,"(40.8912605025, -73.850854895)"
1231829,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,SALIMAR 2 CORP,RESTAURANT BAR,357 E 138TH STREET,,BRONX,NY,10454,857397,02/17/2010,02/04/2016,01/31/2018,40.8097267478,-73.9242045599,"(40.8097267478, -73.9242045599)"
1233255,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,EL CHICANITO SPORTS BAR INC,,1186 EVERGREEN AVE,WESTCHESTER & EVERGREEN AVENUE,BRONX,NY,10472,858664,04/12/2010,04/01/2016,03/31/2018,40.8280137147,-73.8808679598,"(40.8280137147, -73.8808679598)"
1233410,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,SILHOUETTE RESTAURANT LOUNGE CORP,,5668 BROADWAY,233RD & 234TH STREET,BRONX,NY,10471,850106,07/01/2011,07/01/2015,06/30/2017,40.881019646,-73.9031231274,"(40.881019646, -73.9031231274)"
1233870,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,GOOD TO GO ENTERPRISES LLC,GOOD TO GO,1894 EASTCHESTER RD,,BRONX,NY,10461,856320,12/10/2009,12/01/2015,11/30/2017,40.8514686795,-73.8441268885,"(40.8514686795, -73.8441268885)"
1234097,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,VILLA ELBA CATERING INC,,1710 UNIVERSITY AVENUE 2ND FLR,BRANDT PLACE & 176 ST,BRONX,NY,10453,856583,01/19/2010,01/07/2016,12/31/2017,40.8484301548,-73.9179967047,"(40.8484301548, -73.9179967047)"
1234453,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,LOS CEDANOS CORP,D BLASS,1346 EDWARD L GRANT HGWY # 2&3,,BRONX,NY,10452,849325,05/18/2011,05/01/2015,04/30/2017,40.8404601749,-73.9214093541,"(40.8404601749, -73.9214093541)"
1236389,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,MONTE BRISA CORP,EL CONQUISTADOR RESTAURANT,301 E BURNSIDE AVENUE,VALENTINE AVE AND RYER AVE,BRONX,NY,10457,856539,01/21/2010,01/06/2016,12/31/2017,40.8507448364,-73.9012539707,"(40.8507448364, -73.9012539707)"
1237618,LIQUOR STORE,222,L,New York,1,BRONX,DISCOUNT WINE & LIQUOR MART INC,,1796 WESTCHESTER AVENUE,BEACH AVE & ST LAWRENCE AVE,BRONX,NY,10472,884341,09/20/2010,09/09/2016,08/31/2019,40.8317434911,-73.8664428574,"(40.8317434911, -73.8664428574)"
1239192,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,STAN'S SPORTS BAR INC,,836 RIVER AVE,,BRONX,NY,10455,858913,05/12/2010,05/01/2016,04/30/2018,40.8267898095,-73.926444627,"(40.8267898095, -73.926444627)"
1239629,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,"ORIGINAL DREAM CAFE INC, THE",,239 E 165TH ST,,BRONX,NY,10456,864519,08/12/2010,08/01/2016,07/31/2018,40.8297957316,-73.9174674539,"(40.8297957316, -73.9174674539)"
1245069,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,QUATTRO MATTI RISTORANTE INC,GERBASIS RISTORANTE,2389 ARTHUR AVENUE,,BRONX,NY,10458,868939,12/08/2010,12/01/2016,11/30/2018,40.8553649547,-73.8878177742,"(40.8553649547, -73.8878177742)"
1245484,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,M&A TAVERN LLC,MCDERMOTT'S PUB,2634 E TREMONT AVENUE,,BRONX,NY,10461,867343,11/15/2010,11/01/2016,10/31/2018,40.8430844313,-73.8466128838,"(40.8430844313, -73.8466128838)"
1246041,LIQUOR STORE,222,L,New York,1,BRONX,KARMA LIQUORS INC,,1004 MORRIS PARK AVE,,BRONX,NY,10462,857236,11/24/2010,06/01/2015,05/31/2018,40.8481100046,-73.8560692195,"(40.8481100046, -73.8560692195)"
1247229,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,G E THOMAS GROUP INC,BESO LOUNGE,320 E 204TH STREET,,BRONX,NY,10467,868128,11/18/2010,11/01/2016,10/31/2018,40.8726096691,-73.8782808397,"(40.8726096691, -73.8782808397)"
1249246,LIQUOR STORE,222,L,New York,1,BRONX,HAM'S LIQUOR INC,WINE & LIQUOR,10 E BEDFORD PARK BLVD,,BRONX,NY,10468,884958,12/21/2010,12/01/2016,11/30/2019,40.8733857647,-73.8894846262,"(40.8733857647, -73.8894846262)"
1249770,LIQUOR STORE,222,L,New York,1,BRONX,KIANELY WINES & LIQUORS INC,,1442 UNIVERSITY AVENUE,,BRONX,NY,10452,864456,08/18/2011,08/01/2014,07/31/2017,40.8432691161,-73.9227864293,"(40.8432691161, -73.9227864293)"
1250182,LIQUOR STORE,222,L,New York,1,BRONX,J & N LIQUORS INC,J & N LIQUORS INC,745B WHITE PLAINS RD,1896 LAFAYETTE AVE,BRONX,NY,10473,860129,08/02/2011,08/01/2014,07/31/2017,40.8208601998,-73.8579921305,"(40.8208601998, -73.8579921305)"
1250501,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,KANE PRODUCTIONS INC,BISTRO SK,273 CITY ISLAND AVE,,BRONX,NY,10464,846974,06/17/2011,06/01/2015,05/31/2017,40.8462336005,-73.7861906876,"(40.8462336005, -73.7861906876)"
1250871,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,50 PENNYFIELD PUB INC,PADDY'S ON THE BAY,50 PENNYFIELD AVENUE,,BRONX,NY,10465,847085,08/09/2011,08/01/2015,07/31/2017,40.8099495409,-73.803529884,"(40.8099495409, -73.803529884)"
1251089,LIQUOR STORE,222,L,New York,1,BRONX,A & B LIQUOR STORE INC,,225 BROOK AVENUE,,BRONX,NY,10454,860507,04/27/2011,08/01/2014,07/31/2017,40.8072875783,-73.9195000369,"(40.8072875783, -73.9195000369)"
1251256,LIQUOR STORE,222,L,New York,1,BRONX,BURNSIDE WINES & LIQUORS CORP,BURNSIDE WINE & LIQUORS,189 W BURNSIDE AVE STORE 1,,BRONX,NY,10453,829111,06/22/2011,06/01/2014,05/31/2017,40.8541895038,-73.9152979305,"(40.8541895038, -73.9152979305)"
1251609,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,432 TAVERN CORP,FENWICKS BAR & GRILL,432 W 238TH STREET,,BRONX,NY,10463,854825,11/29/2011,11/01/2015,10/31/2017,40.8870519656,-73.9042973882,"(40.8870519656, -73.9042973882)"
1251810,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,2260 MAG CORP,THE GARAGE,2260 TILLOTSON AVE,,BRONX,NY,10475,853127,10/19/2011,10/01/2015,09/30/2017,40.8822426959,-73.8276629263,"(40.8822426959, -73.8276629263)"
1251894,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,3236 BAINBRIDGE AVENUE FOOD CORP,MAR Y TIERRA RESTAURANT & LOUNGE,3236 BAINBRIDGE AVENUE,,BRONX,NY,10467,846591,05/11/2011,05/04/2015,04/30/2017,40.8764215293,-73.8795824889,"(40.8764215293, -73.8795824889)"
1252213,LIQUOR STORE,222,L,New York,1,BRONX,F & M WINES & LIQUORS INC,,99 FEATHERBED LANE,,BRONX,NY,10452,817476,08/25/2011,06/19/2014,07/31/2017,40.8462851927,-73.9182443794,"(40.8462851927, -73.9182443794)"
1253506,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,LORRAINES BAR & GRILL INC,,1410 UNIONPORT RD,,BRONX,NY,10462,856107,09/15/2011,11/16/2015,08/31/2017,40.8348833897,-73.8543740762,"(40.8348833897, -73.8543740762)"
1253720,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,J R PRIMOS RESTAURANT CORP,,698 ALLERTON AVE,,BRONX,NY,10467,850126,07/13/2011,07/01/2015,06/30/2017,40.8653793242,-73.8673915365,"(40.8653793242, -73.8673915365)"
1253791,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,MELROSE PARRILLA LATINA RESTAURANT INC,,614 MELROSE AVE,,BRONX,NY,10455,856862,02/02/2012,02/01/2016,01/31/2018,40.8177664946,-73.9169686522,"(40.8177664946, -73.9169686522)"
1254177,LIQUOR STORE,222,L,New York,1,BRONX,SILVER SPOON WINE SPIRIT INC,,1810 CROTONA AVE,,BRONX,NY,10457,861515,10/26/2011,10/01/2014,09/30/2017,40.842957062,-73.8932866634,"(40.842957062, -73.8932866634)"
1254380,LIQUOR STORE,222,L,New York,1,BRONX,JARDY WINES & LIQUORS CORP,JARDY WINES & LIQUORS,486 E 169TH ST STORE 1,,BRONX,NY,10456,862738,11/15/2011,12/08/2014,10/31/2017,40.8329536312,-73.9057704502,"(40.8329536312, -73.9057704502)"
1254654,LIQUOR STORE,222,L,New York,1,BRONX,CARNAVAL WINE & LIQUOR INC,,48 W FORDHAM RD,,BRONX,NY,10468,859936,09/27/2011,06/19/2014,08/31/2017,40.8626755045,-73.9032832349,"(40.8626755045, -73.9032832349)"
1254835,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,GASOLINA BAR LOUNGE CORP,,2525 BOSTON POST ROAD,,BRONX,NY,10467,853522,10/19/2011,10/01/2015,09/30/2017,40.8639315541,-73.8647198393,"(40.8639315541, -73.8647198393)"
1254840,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,CAKOR RESTAURANT INC,,632 E 186TH ST,,BRONX,NY,10458,850581,07/13/2011,07/01/2015,06/30/2017,40.8540738644,-73.8869785913,"(40.8540738644, -73.8869785913)"
1255600,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,YAQUE RIVER RESTAURANT CORP,,860 E TREMONT AVE,,BRONX,NY,10457,868455,12/18/2012,12/01/2016,11/30/2018,40.843054698,-73.886484049,"(40.843054698, -73.886484049)"
